id,condition,seller,brand,model,name,category,processor,graphics,ram,storage,display,display_size,display_resolution,product_url,price,image_url,in_stock
347,New,abc-shop,Asus,90NB0WC1-M00850,ASUS ZenBook 14 OLED UX3402ZA-OLED005W - i5 1240P 8GB DDR5 512GB NVMe Intel Iris Xe OLED 90Hz DOS,Business,Intel Core i5 1240P,Intel Iris Xe,8,512,"14 Inch,  2.8K (2880x1800), refresh rate: 90Hz",14,2.8K,https://www.abcshop-eg.com/en/shop/90nb0wc1-m00850-asus-zenbook-14-oled-ux3402za-oled005w-1166?page=3&category=13&order=on_hand+desc,39999,https://www.abcshop-eg.com/web/image/product.template/1166/image_512/%5B90NB0WC1-M00850%5D%20ASUS%20ZenBook%2014%20OLED%20UX3402ZA-OLED005W?unique=3366e1f,out of stock
348,New,abc-shop,Asus,90NB0WC1-M00860,ASUS ZenBook 14 OLED UX3402ZA-OLED007W - i7 1260P 16GB LPDDR5 1TB NVMe Intel Iris Xe OLED 90Hz DOS,Business,Intel Core i7 1260P,Intel Iris Xe,16,1024,"14 Inch,  2.8K (2880x1800), refresh rate: 90Hz",14,2.8K,https://www.abcshop-eg.com/en/shop/90nb0wc1-m00860-asus-zenbook-14-oled-ux3402za-oled007w-1167?page=3&category=13&order=on_hand+desc,47999,https://www.abcshop-eg.com/web/image/product.template/1167/image_512/%5B90NB0WC1-M00860%5D%20ASUS%20ZenBook%2014%20OLED%20UX3402ZA-OLED007W?unique=3366e1f,out of stock
349,New,abc-shop,Asus,90NB1081-M00BT0,ASUS ZenBook 14 OLED UX3405MA-PP009WS - Ultra 9 185H 16GB DDR5 1TB NVMe Intel Arc Graphics OLED 3.0K 120Hz WIN 11,Business,Intel Core Ultra 9 185H,Intel Arc,16,1024,"14 Inch,  3.0k (2880x1800), refresh rate: 120Hz",14,3K,https://www.abcshop-eg.com/en/shop/90nb11r1-m00jk0-asus-zenbook-14-oled-ux3405ma-pp009ws-1319?page=2&category=13&order=on_hand+desc,73999,https://www.abcshop-eg.com/web/image/product.template/1319/image_512/%5B90NB11R1-M00JK0%5D%20ASUS%20ZenBook%2014%20OLED%20UX3405MA-PP009WS?unique=3366e1f,out of stock
350,New,abc-shop,Asus,90NB0SM1-M00FD0,ASUS ZenBook 14 UX425EA-KI007W - i7 1165G7 16GB DDR4 1TB NVMe Intel Iris Xe IPS FHD 60Hz WIN 11,Business,Intel Core i7 1165G7,Intel Iris Xe,16,1024,"14 Inch,  2K WQHD (2560x1440), refresh rate: 60Hz",14,2K,https://www.abcshop-eg.com/en/shop/90nb0sm1-m00fd0-asus-zenbook-14-ux425ea-ki007w-1162?page=3&category=13&order=on_hand+desc,30999,https://www.abcshop-eg.com/web/image/product.template/1162/image_512/%5B90NB0SM1-M00FD0%5D%20ASUS%20ZenBook%2014%20UX425EA-KI007W%20?unique=3366e1f,out of stock
351,New,amazon,Asus,Zenbook 14,"ASUS Zenbook 14 WUXGA Touch AI Ready OLED Business Laptop, 14Cores Intel Ultra 5-125H(Beats i7-1370P), Win11, Wi-Fi 6E, FHD IR Webcam, 2X Thunderbolt 4, w/Mousepad (8GB LPDDR5 RAM | 1TB PCIe SSD)",Business,Intel Core Ultra 5 125H,Intel Arc,8,1024,14 inches ( 1920x1200  ) FHD,14,FHD,https://www.amazon.com/dp/B0DJ8N3VFR,31199,https://m.media-amazon.com/images/I/81Iw-2EL8QL._AC_UY218_.jpg,in stock
352,New,abc-shop,Asus,ZenBook 14X OLED Q420VA-EVO.I7512,ASUS ZenBook 14X OLED Q420VA-EVO.I7512 - i7 13700H 16GB DDR5 2TB NVMe Intel Iris X  OLED 2.8K 120Hz OLED WIN 11 Pro,Business,Intel Core i7 13700H,Intel Iris Xe,16,2048,"14.5 Inch,  2.8K (2880x1800), refresh rate: 120Hz",14.5,2.8K,https://www.abcshop-eg.com/en/shop/q420va-asus-zenbook-14x-oled-q420va-evo-i7512-1416?page=2&category=13&order=on_hand+desc,40999,https://www.abcshop-eg.com/web/image/product.template/1416/image_512/%5BQ420VA%5D%20ASUS%20ZenBook%2014X%20OLED%20Q420VA-EVO.I7512?unique=3366e1f,out of stock
353,New,abc-shop,Asus,90NB1081-M00BT0,ASUS ZenBook 14X OLED UX3404VA-OLED009W - i9 13900H 16GB DRR5 512GB NVMe Intel Iris X OLED 2.8K 120Hz WIN 11,Business,Intel Core i9 13900H,Intel Iris Xe,16,512,"14 Inch,  2.8K (2880x1800), refresh rate: 120Hz",14,2.8K,https://www.abcshop-eg.com/en/shop/90nb1081-m00bt0-asus-zenbook-14x-oled-ux3404va-oled009w-1322?page=2&category=13&order=on_hand+desc,61999,https://www.abcshop-eg.com/web/image/product.template/1322/image_512/%5B90NB1081-M00BT0%5D%20ASUS%20ZenBook%2014X%20OLED%20UX3404VA-OLED009W?unique=1b66ed4,out of stock
354,New,abc-shop,Asus,90NB10H1-M005N0,ASUS Zenbook 14X OLED UX3404VC-OLED009W - i9 13900H 32GB DDR5 1TB NVMe OLED 2.8K 120Hz WIN 11,Creator,Intel Core i9 13900H,NVIDIA RTX 3050,32,1024,"14 Inch,  2.8K (2880x1800), refresh rate: 120Hz",14,2.8K,https://www.abcshop-eg.com/en/shop/90nb10h1-m005n0-asus-zenbook-14x-oled-ux3404vc-oled009w-1320?category=33&order=on_hand+desc,65999,https://www.abcshop-eg.com/web/image/product.template/1320/image_512/%5B90NB10H1-M005N0%5D%20ASUS%20Zenbook%2014X%20OLED%20UX3404VC-OLED009W?unique=c69dc1e,out of stock
355,New,abc-shop,Asus,90NB0T83-M03620,ASUS ZenBook 14X OLED UX5400EG-OLED007W - i7 1165G7 16GB LPDDR4X 1TB NVMe MX450 OLED FHD 90Hz WIN 11,Business,Intel Core i7 1165G7,NVIDIA MX 450,16,1024,"14 Inch,  2.8K (2880x1800), refresh rate: 90Hz",14,2.8K,https://www.abcshop-eg.com/en/shop/90nb0t83-m03620-asus-zenbook-14x-oled-ux5400eg-oled007w-1145?page=4&category=13&order=on_hand+desc,52999,https://www.abcshop-eg.com/web/image/product.template/1145/image_512/%5B90NB0T83-M03620%5D%20ASUS%20ZenBook%2014X%20OLED%20UX5400EG-OLED007W?unique=3366e1f,out of stock
356,New,amazon,Asus,Zenbook 15,"ASUS Zenbook 15 Business Slim Laptop, 15.6 FHD 100% sRGB, AMD Ryzen 5 7535U, Backlit Keyboard, Wi-Fi 6E, USB C, Windows 11 Home, w/Cloth (16GB LPDDR5 RAM | 1TB PCIe SSD)",Business,AMD Ryzen 5 7535U,AMD Radeon,16,1024,15.6 inches ( 1920x1080  ) FHD,15.6,FHD,https://www.amazon.com/dp/B0DP9LG2BL,39999,https://m.media-amazon.com/images/I/81kZHe-6jSL._AC_UY218_.jpg,in stock
